Country,Healthy Life Expectancy,Generosity,GDP per Capita,Social Support,Happiness Score,Freedom,Perceptions of Corruption,Happiness Rank,year
Switzerland,0.94143,0.29678,1.39651,1.34951,7.587,0.66557,0.41978,1,2015
Iceland,0.94784,0.4363,1.30232,1.40223,7.561,0.62877,0.14145,2,2015
Denmark,0.87464,0.34139,1.32548,1.36058,7.527,0.64938,0.48357,3,2015
Norway,0.88521,0.34699,1.459,1.33095,7.522,0.66973,0.36503,4,2015
Canada,0.90563,0.45811,1.32629,1.32261,7.427,0.63297,0.32957,5,2015
Finland,0.88911,0.23351,1.29025,1.31826,7.406,0.64169,0.41372,6,2015
Netherlands,0.89284,0.4761,1.32944,1.28017,7.378,0.61576,0.31814,7,2015
Sweden,0.91087,0.36262,1.33171,1.28907,7.364,0.6598,0.43844,8,2015
New Zealand,0.90837,0.47501,1.25018,1.31967,7.286,0.63938,0.42922,9,2015
Australia,0.93156,0.43562,1.33358,1.30923,7.284,0.65124,0.35637,10,2015
Israel,0.91387,0.33172,1.22857,1.22393,7.278,0.41319,0.07785,11,2015
Costa Rica,0.86027,0.25497,0.95578,1.23788,7.226,0.63376,0.10583,12,2015
Austria,0.89042,0.33088,1.33723,1.29704,7.2,0.62433,0.18676,13,2015
Mexico,0.81444,0.14074,1.02054,0.91451,7.187,0.48181,0.21312,14,2015
United States,0.86179,0.40105,1.39451,1.24711,7.119,0.54604,0.1589,15,2015
Brazil,0.69702,0.14574,0.98124,1.23287,6.983,0.49049,0.17521,16,2015
Luxembourg,0.91894,0.28034,1.56391,1.21963,6.946,0.61583,0.37798,17,2015
Ireland,0.89533,0.45901,1.33596,1.36948,6.94,0.61777,0.28703,18,2015
Belgium,0.89667,0.2225,1.30782,1.28566,6.937,0.5845,0.2254,19,2015
United Arab Emirates,0.80925,0.26428,1.42727,1.12575,6.901,0.64157,0.38583,20,2015
United Kingdom,0.90943,0.51912,1.26637,1.28548,6.867,0.59625,0.32067,21,2015
Oman,0.76276,0.21542,1.36011,1.08182,6.853,0.63274,0.32524,22,2015
Venezuela,0.72052,0.05841,1.04424,1.25596,6.81,0.42908,0.11069,23,2015
Singapore,1.02525,0.31105,1.52186,1.02,6.798,0.54252,0.4921,24,2015
Panama,0.79661,0.24434,1.06353,1.1985,6.786,0.5421,0.0927,25,2015
Germany,0.89186,0.28214,1.32792,1.29937,6.75,0.61477,0.21843,26,2015
Chile,0.85857,0.33363,1.10715,1.12447,6.67,0.44132,0.12869,27,2015
Qatar,0.79733,0.32573,1.69042,1.0786,6.611,0.6404,0.52208,28,2015
France,0.94579,0.12332,1.27778,1.26038,6.575,0.55011,0.20646,29,2015
Argentina,0.78723,0.11451,1.05351,1.24823,6.574,0.44974,0.08484,30,2015
Czech Republic,0.84483,0.10686,1.17898,1.20643,6.505,0.46364,0.02652,31,2015
Uruguay,0.8116,0.2324,1.06166,1.2089,6.485,0.60362,0.24558,32,2015
Colombia,0.69077,0.18401,0.91861,1.24018,6.477,0.53466,0.0512,33,2015
Thailand,0.7385,0.5763,0.9669,1.26504,6.455,0.55664,0.03187,34,2015
Saudi Arabia,0.72025,0.13706,1.39541,1.08393,6.411,0.31048,0.32524,35,2015
Spain,0.95562,0.18227,1.23011,1.31379,6.329,0.45951,0.06398,36,2015
Malta,0.88721,0.51752,1.2074,1.30203,6.302,0.60365,0.13586,37,2015
Taiwan,0.8753,0.25376,1.29098,1.07617,6.298,0.3974,0.08129,38,2015
Kuwait,0.72492,0.16228,1.55422,1.16594,6.295,0.55499,0.25609,39,2015
Suriname,0.6082,0.16991,0.99534,0.972,6.269,0.59657,0.13633,40,2015
Trinidad and Tobago,0.61483,0.31844,1.21183,1.18354,6.168,0.55884,0.0114,41,2015
El Salvador,0.67737,0.10692,0.76454,1.02507,6.13,0.4035,0.11776,42,2015
Guatemala,0.64425,0.27489,0.74553,1.04356,6.123,0.57733,0.09472,43,2015
Uzbekistan,0.59772,0.22837,0.63244,1.34043,6.003,0.65821,0.30826,44,2015
Slovakia,0.78902,0.16893,1.16891,1.26999,5.995,0.31751,0.03431,45,2015
Japan,0.99111,0.10705,1.27074,1.25712,5.987,0.49615,0.1806,46,2015
South Korea,0.96538,0.18557,1.24461,0.95774,5.984,0.33208,0.07857,47,2015
Ecuador,0.79075,0.11541,0.86402,0.99903,5.975,0.48574,0.1809,48,2015
Bahrain,0.74716,0.17362,1.32376,1.21624,5.96,0.45492,0.306,49,2015
Italy,0.95446,0.22823,1.25114,1.19777,5.948,0.26236,0.02901,50,2015
Bolivia,0.5392,0.20536,0.68133,0.97841,5.89,0.57414,0.088,51,2015
Moldova,0.61826,0.20951,0.59448,1.01528,5.889,0.32818,0.01615,52,2015
Paraguay,0.66098,0.3424,0.75985,1.30477,5.878,0.53899,0.08242,53,2015
Kazakhstan,0.64368,0.11827,1.12254,1.12241,5.855,0.51649,0.08454,54,2015
Slovenia,0.87337,0.25328,1.18498,1.27385,5.848,0.60855,0.03787,55,2015
Lithuania,0.73128,0.02641,1.14723,1.25745,5.833,0.21342,0.01031,56,2015
Nicaragua,0.74314,0.27815,0.59325,1.14184,5.828,0.55475,0.19317,57,2015
Peru,0.73017,0.14982,0.90019,0.97459,5.824,0.41496,0.05989,58,2015
Belarus,0.73608,0.11046,1.03192,1.23289,5.813,0.37938,0.1909,59,2015
Poland,0.77903,0.16759,1.12555,1.27948,5.791,0.53122,0.04212,60,2015
Malaysia,0.72394,0.33075,1.12486,1.07023,5.77,0.53024,0.10501,61,2015
Croatia,0.78805,0.05444,1.08254,0.79624,5.759,0.25883,0.0243,62,2015
Libya,0.7038,0.18295,1.13145,1.11862,5.754,0.41668,0.11023,63,2015
Russia,0.66926,0.00199,1.13764,1.23617,5.716,0.36679,0.03005,64,2015
Jamaica,0.68741,0.2123,0.81038,1.15102,5.709,0.50442,0.02299,65,2015
North Cyprus,0.92356,0.26169,1.20806,1.07008,5.695,0.49027,0.1428,66,2015
Cyprus,0.92356,0.30638,1.20813,0.89318,5.689,0.40672,0.06146,67,2015
Algeria,0.61766,0.07822,0.93929,1.07772,5.605,0.28579,0.17383,68,2015
Kosovo,0.63132,0.2831,0.80148,0.81198,5.589,0.24749,0.04741,69,2015
Turkmenistan,0.53886,0.16979,0.95847,1.22668,5.548,0.4761,0.30844,70,2015
Mauritius,0.7095,0.37744,1.00761,0.98521,5.477,0.56066,0.07521,71,2015
Hong Kong,1.01328,0.39478,1.38604,1.05818,5.474,0.59608,0.37124,72,2015
Estonia,0.77361,0.0868,1.15174,1.22791,5.429,0.44888,0.15184,73,2015
Indonesia,0.63793,0.51535,0.82827,1.08708,5.399,0.46611,0.0,74,2015
Vietnam,0.74676,0.1686,0.63216,0.91226,5.36,0.59444,0.10441,75,2015
Turkey,0.73172,0.12253,1.06098,0.94632,5.332,0.22815,0.15746,76,2015
Kyrgyzstan,0.65088,0.3003,0.47428,1.15115,5.286,0.43477,0.04232,77,2015
Nigeria,0.16007,0.27233,0.65435,0.90432,5.268,0.34334,0.0403,78,2015
Bhutan,0.57407,0.47998,0.77042,1.10395,5.253,0.53206,0.15445,79,2015
Azerbaijan,0.64045,0.07799,1.02389,0.93793,5.212,0.3703,0.16065,80,2015
Pakistan,0.51466,0.33671,0.59543,0.41411,5.194,0.12102,0.10464,81,2015
Jordan,0.69639,0.11053,0.90198,1.05392,5.192,0.40661,0.14293,82,2015
Montenegro,0.72521,0.1614,0.97438,0.90557,5.192,0.1826,0.14296,82,2015
China,0.81658,0.08185,0.89012,0.94675,5.14,0.51697,0.02781,84,2015
Zambia,0.29924,0.19591,0.47038,0.91612,5.129,0.48827,0.12468,85,2015
Romania,0.7689,0.13748,1.04345,0.88588,5.124,0.35068,0.00649,86,2015
Serbia,0.74836,0.19231,0.92053,1.00964,5.123,0.20107,0.02617,87,2015
Portugal,0.87519,0.13719,1.15991,1.13935,5.102,0.51469,0.01078,88,2015
Latvia,0.72437,0.18226,1.11312,1.09562,5.098,0.29671,0.06332,89,2015
Philippines,0.58114,0.24991,0.70532,1.03516,5.073,0.62545,0.12279,90,2015
Somaliland region,0.43873,0.50318,0.18847,0.95152,5.057,0.46582,0.39928,91,2015
Morocco,0.60954,0.07172,0.73479,0.64095,5.013,0.41691,0.08546,92,2015
Macedonia,0.73545,0.22359,0.91851,1.00232,5.007,0.33457,0.05327,93,2015
Mozambique,0.09131,0.22269,0.08308,1.02626,4.971,0.34037,0.15603,94,2015
Albania,0.81325,0.14272,0.87867,0.80434,4.959,0.35733,0.06413,95,2015
Bosnia and Herzegovina,0.79081,0.24808,0.83223,0.91916,4.949,0.09245,0.00227,96,2015
Lesotho,0.07612,0.16388,0.37545,1.04103,4.898,0.31767,0.12504,97,2015
Dominican Republic,0.66825,0.21684,0.89537,1.17202,4.885,0.57672,0.14234,98,2015
Laos,0.54909,0.42192,0.59066,0.73803,4.876,0.59591,0.24249,99,2015
Mongolia,0.60268,0.3323,0.82819,1.3006,4.874,0.43626,0.02666,100,2015
Swaziland,0.07566,0.18259,0.71206,1.07284,4.867,0.30658,0.0306,101,2015
Greece,0.88213,0.0,1.15406,0.92933,4.857,0.07699,0.01397,102,2015
Lebanon,0.83947,0.21854,1.02564,0.80001,4.839,0.33916,0.04582,103,2015
Hungary,0.75905,0.128,1.12094,1.20215,4.8,0.32112,0.02758,104,2015
Honduras,0.6951,0.23027,0.59532,0.95348,4.788,0.40148,0.06825,105,2015
Tajikistan,0.57379,0.22974,0.39047,0.85563,4.786,0.47216,0.15072,106,2015
Tunisia,0.73793,0.06431,0.88113,0.60429,4.739,0.26268,0.06358,107,2015
Palestinian Territories,0.66015,0.11251,0.59867,0.92558,4.715,0.24499,0.12905,108,2015
Bangladesh,0.60164,0.21222,0.39753,0.43106,4.694,0.4082,0.12569,109,2015
Iran,0.69805,0.38086,1.0088,0.54447,4.686,0.30033,0.05863,110,2015
Ukraine,0.6739,0.15275,0.79907,1.20278,4.681,0.25123,0.02961,111,2015
Iraq,0.60237,0.17922,0.98549,0.81889,4.677,0.0,0.13788,112,2015
South Africa,0.27688,0.11973,0.92049,1.18468,4.642,0.33207,0.08884,113,2015
Ghana,0.40132,0.23087,0.54558,0.67954,4.633,0.42342,0.04355,114,2015
Zimbabwe,0.33475,0.18987,0.271,1.03276,4.61,0.25861,0.08079,115,2015
Liberia,0.34201,0.24362,0.0712,0.78968,4.571,0.28531,0.06232,116,2015
India,0.51529,0.26475,0.64499,0.38174,4.565,0.39786,0.08492,117,2015
Sudan,0.36878,0.19062,0.52107,1.01404,4.55,0.10081,0.1466,118,2015
Haiti,0.38847,0.46187,0.26673,0.74302,4.518,0.24425,0.17175,119,2015
Congo (Kinshasa),0.09806,0.24834,0.0,1.0012,4.517,0.22605,0.07625,120,2015
Nepal,0.56874,0.32296,0.35997,0.86449,4.514,0.38282,0.05907,121,2015
Ethiopia,0.44055,0.24325,0.19073,0.60406,4.512,0.4345,0.15048,122,2015
Sierra Leone,0.0,0.21488,0.33024,0.95571,4.507,0.4084,0.08786,123,2015
Mauritania,0.35874,0.219,0.45407,0.86908,4.436,0.24232,0.17461,124,2015
Kenya,0.41435,0.37542,0.36471,0.99876,4.419,0.42215,0.05839,125,2015
Djibouti,0.36291,0.18093,0.44025,0.59207,4.369,0.46074,0.28105,126,2015
Armenia,0.7299,0.07855,0.76821,0.77711,4.35,0.19847,0.039,127,2015
Botswana,0.04776,0.10461,0.99355,1.10464,4.332,0.49495,0.12474,128,2015
Myanmar,0.48246,0.79588,0.27108,0.70905,4.307,0.44017,0.19034,129,2015
Georgia,0.72926,0.05547,0.7419,0.38562,4.297,0.40577,0.38331,130,2015
Malawi,0.22562,0.33128,0.01604,0.41134,4.292,0.43054,0.06977,131,2015
Sri Lanka,0.70806,0.40828,0.83524,1.01905,4.271,0.53726,0.09179,132,2015
Cameroon,0.23402,0.20618,0.4225,0.88767,4.252,0.49309,0.05786,133,2015
Bulgaria,0.76649,0.11921,1.01216,1.10614,4.218,0.30587,0.00872,134,2015
Egypt,0.61712,0.11291,0.8818,0.747,4.194,0.17288,0.06324,135,2015
Yemen,0.40064,0.09131,0.54649,0.68093,4.077,0.35571,0.07854,136,2015
Angola,0.16683,0.12344,0.75778,0.8604,4.033,0.10384,0.07122,137,2015
Mali,0.20583,0.18798,0.26074,1.03526,3.995,0.38857,0.12352,138,2015
Congo (Brazzaville),0.31051,0.12388,0.67866,0.6629,3.989,0.41466,0.11686,139,2015
Comoros,0.36315,0.17441,0.23906,0.79273,3.956,0.22917,0.199,140,2015
Uganda,0.33861,0.29066,0.21102,1.13299,3.931,0.45727,0.07267,141,2015
Senegal,0.4354,0.20843,0.36498,0.97619,3.904,0.36772,0.10713,142,2015
Gabon,0.43372,0.06822,1.06024,0.90528,3.896,0.31914,0.11091,143,2015
Niger,0.29707,0.19387,0.0694,0.77265,3.845,0.47692,0.15639,144,2015
Cambodia,0.61114,0.40359,0.46038,0.62736,3.819,0.66246,0.07247,145,2015
Tanzania,0.38215,0.34377,0.2852,1.00268,3.781,0.32878,0.05747,146,2015
Madagascar,0.46721,0.21333,0.20824,0.66801,3.681,0.19184,0.08124,147,2015
Central African Republic,0.06699,0.23835,0.0785,0.0,3.678,0.48879,0.08289,148,2015
Chad,0.1501,0.18386,0.34193,0.76062,3.667,0.23501,0.05269,149,2015
Guinea,0.24009,0.28657,0.17417,0.46475,3.656,0.37725,0.12139,150,2015
Ivory Coast,0.15185,0.20165,0.46534,0.77115,3.655,0.46866,0.17922,151,2015
Burkina Faso,0.27125,0.21747,0.25812,0.85188,3.587,0.39493,0.12832,152,2015
Afghanistan,0.30335,0.3651,0.31982,0.30285,3.575,0.23414,0.09719,153,2015
Rwanda,0.42864,0.22628,0.22208,0.7737,3.465,0.59201,0.55191,154,2015
Benin,0.3191,0.1826,0.28665,0.35386,3.34,0.4845,0.0801,155,2015
Syria,0.72193,0.47179,0.6632,0.47489,3.006,0.15684,0.18906,156,2015
Burundi,0.22396,0.19727,0.0153,0.41587,2.905,0.1185,0.10062,157,2015
Togo,0.28443,0.16681,0.20868,0.13995,2.839,0.36453,0.10731,158,2015
Denmark,0.79504,0.36171,1.44178,1.16374,7.526,0.57941,0.44453,1,2016
Switzerland,0.86303,0.28083,1.52733,1.14524,7.509,0.58557,0.41203,2,2016
Iceland,0.86733,0.47678,1.42666,1.18326,7.501,0.56624,0.14975,3,2016
Norway,0.79579,0.37895,1.57744,1.1269,7.498,0.59609,0.35776,4,2016
Finland,0.81091,0.25492,1.40598,1.13464,7.413,0.57104,0.41004,5,2016
Canada,0.8276,0.44834,1.44015,1.0961,7.404,0.5737,0.31329,6,2016
Netherlands,0.81231,0.47416,1.46468,1.02912,7.339,0.55211,0.29927,7,2016
New Zealand,0.83096,0.49401,1.36066,1.17278,7.334,0.58147,0.41904,8,2016
Australia,0.8512,0.47407,1.44443,1.10476,7.313,0.56837,0.32331,9,2016
Sweden,0.83121,0.38254,1.45181,1.08764,7.291,0.58218,0.40867,10,2016
Israel,0.84917,0.32288,1.33766,0.99537,7.267,0.36432,0.08728,11,2016
Austria,0.80565,0.32865,1.45038,1.08383,7.119,0.54355,0.21348,12,2016
United States,0.779,0.41077,1.50796,1.04782,7.104,0.48163,0.14868,13,2016
Costa Rica,0.76146,0.22553,1.06879,1.02152,7.087,0.55225,0.10547,14,2016
Puerto Rico,0.77758,0.22202,1.35943,1.08113,7.039,0.46823,0.12275,15,2016
Germany,0.81487,0.30452,1.44787,1.09774,6.994,0.53466,0.28551,16,2016
Brazil,0.61415,0.15776,1.08754,1.03938,6.952,0.40425,0.14166,17,2016
Belgium,0.81959,0.2424,1.42539,1.05249,6.929,0.51354,0.26248,18,2016
Ireland,0.81455,0.44963,1.48341,1.16157,6.907,0.54008,0.29754,19,2016
Luxembourg,0.84542,0.27571,1.69752,1.03999,6.871,0.5487,0.35329,20,2016
Mexico,0.71143,0.11735,1.11508,0.7146,6.778,0.37709,0.18355,21,2016
Singapore,0.94719,0.32706,1.64555,0.86758,6.739,0.4877,0.46987,22,2016
United Kingdom,0.80991,0.50156,1.40283,1.08672,6.725,0.50036,0.27399,23,2016
Chile,0.81883,0.31595,1.2167,0.90587,6.705,0.37789,0.11451,24,2016
Panama,0.70835,0.2418,1.18306,0.98912,6.701,0.48927,0.08423,25,2016
Argentina,0.69711,0.10989,1.15137,1.06612,6.65,0.42284,0.07296,26,2016
Czech Republic,0.76376,0.09929,1.30915,1.00793,6.596,0.41418,0.03986,27,2016
United Arab Emirates,0.72993,0.26591,1.57352,0.87114,6.573,0.56215,0.35561,28,2016
Uruguay,0.72183,0.18056,1.18157,1.03143,6.545,0.54388,0.21394,29,2016
Malta,0.80315,0.56237,1.30782,1.09879,6.488,0.54994,0.17554,30,2016
Colombia,0.59659,0.15626,1.03032,1.02169,6.481,0.44735,0.05399,31,2016
France,0.83795,0.1216,1.39488,1.00508,6.478,0.46562,0.17808,32,2016
Thailand,0.64915,0.58696,1.0893,1.04477,6.474,0.49553,0.02833,33,2016
Saudi Arabia,0.59267,0.15457,1.48953,0.84829,6.379,0.37904,0.30008,34,2016
Taiwan,0.79565,0.25495,1.39729,0.92624,6.379,0.32377,0.0663,34,2016
Qatar,0.71723,0.32388,1.82427,0.87964,6.375,0.56679,0.48049,36,2016
Spain,0.87896,0.17665,1.34253,1.12945,6.361,0.37545,0.06137,37,2016
Algeria,0.61804,0.07044,1.05266,0.83309,6.355,0.21006,0.16157,38,2016
Guatemala,0.54039,0.28808,0.83454,0.87119,6.324,0.50379,0.08701,39,2016
Suriname,0.50933,0.16665,1.09686,0.77866,6.269,0.52234,0.12692,40,2016
Kuwait,0.63569,0.15965,1.61714,0.87758,6.239,0.43166,0.23669,41,2016
Bahrain,0.65696,0.17147,1.44024,0.94397,6.218,0.47375,0.25772,42,2016
Trinidad and Tobago,0.52608,0.31935,1.32572,0.98569,6.168,0.48453,0.01241,43,2016
Venezuela,0.61904,0.0425,1.13367,1.03302,6.084,0.19847,0.08304,44,2016
Slovakia,0.70367,0.13837,1.27973,1.08268,6.078,0.23391,0.02947,45,2016
El Salvador,0.596,0.08877,0.8737,0.80975,6.068,0.37269,0.10613,46,2016
Malaysia,0.62366,0.41474,1.25142,0.88025,6.005,0.39031,0.09081,47,2016
Nicaragua,0.65213,0.29773,0.69384,0.89521,5.992,0.46582,0.16292,48,2016
Uzbekistan,0.50163,0.34326,0.73591,1.1681,5.987,0.60848,0.28333,49,2016
Italy,0.85102,0.16684,1.35495,1.04167,5.977,0.18827,0.02556,50,2016
Ecuador,0.68613,0.10074,0.97306,0.85974,5.976,0.4027,0.18037,51,2016
Belize,0.45569,0.23684,0.87616,0.68655,5.956,0.51231,0.10771,52,2016
Japan,0.91491,0.10224,1.38007,1.06054,5.921,0.46761,0.18985,53,2016
Kazakhstan,0.57386,0.15011,1.22943,0.95544,5.919,0.4052,0.11132,54,2016
Moldova,0.52309,0.19997,0.69177,0.83132,5.897,0.25202,0.01903,55,2016
Russia,0.58991,0.02736,1.23228,1.05261,5.856,0.32682,0.03586,56,2016
Poland,0.69058,0.14443,1.24585,1.04685,5.835,0.4519,0.055,57,2016
South Korea,0.88645,0.18824,1.35948,0.72194,5.835,0.25168,0.07716,57,2016
Bolivia,0.4697,0.21698,0.79422,0.83779,5.822,0.50961,0.07746,59,2016
Lithuania,0.64674,0.02025,1.2692,1.06411,5.813,0.18929,0.0182,60,2016
Belarus,0.63104,0.13942,1.13062,1.04993,5.802,0.29091,0.17457,61,2016
North Cyprus,0.84142,0.26322,1.31141,0.81826,5.771,0.43596,0.16578,62,2016
Slovenia,0.79151,0.25738,1.29947,1.05613,5.768,0.53164,0.03635,63,2016
Peru,0.62994,0.14527,0.99602,0.81255,5.743,0.37502,0.05292,64,2016
Turkmenistan,0.44006,0.22567,1.08017,1.03817,5.658,0.37408,0.28467,65,2016
Mauritius,0.66189,0.36951,1.14372,0.75695,5.648,0.46145,0.05203,66,2016
Libya,0.52304,0.17087,1.06688,0.95076,5.615,0.40672,0.10339,67,2016
Latvia,0.63952,0.17445,1.21788,0.95025,5.56,0.27996,0.0889,68,2016
Cyprus,0.8488,0.27906,1.31857,0.70697,5.546,0.29507,0.05228,69,2016
Paraguay,0.58295,0.25296,0.89373,1.11111,5.538,0.46235,0.07396,70,2016
Romania,0.67602,0.12889,1.1697,0.72803,5.528,0.36712,0.00679,71,2016
Estonia,0.68098,0.08423,1.27964,1.05163,5.517,0.41511,0.18519,72,2016
Jamaica,0.59469,0.22245,0.89333,0.96372,5.51,0.43597,0.04294,73,2016
Croatia,0.70524,0.18434,1.18649,0.60809,5.488,0.23907,0.04002,74,2016
Hong Kong,0.95277,0.40097,1.5107,0.87021,5.458,0.48079,0.31647,75,2016
Somalia,0.11466,0.27225,0.0,0.33613,5.44,0.56778,0.3118,76,2016
Kosovo,0.54,0.27992,0.90145,0.66062,5.401,0.14396,0.06547,77,2016
Turkey,0.64718,0.04707,1.16492,0.87717,5.389,0.23889,0.12348,78,2016
Indonesia,0.49374,0.56521,0.95104,0.87625,5.314,0.39237,0.00322,79,2016
Jordan,0.60712,0.14262,0.99673,0.86216,5.303,0.36023,0.13297,80,2016
Azerbaijan,0.54504,0.0564,1.12373,0.76042,5.291,0.35327,0.17914,81,2016
Philippines,0.47036,0.21674,0.81217,0.87877,5.279,0.54854,0.11757,82,2016
China,0.73561,0.04959,1.0278,0.79381,5.245,0.44012,0.02745,83,2016
Bhutan,0.49759,0.48546,0.8527,0.90836,5.196,0.46074,0.1616,84,2016
Kyrgyzstan,0.55449,0.38432,0.56044,0.95434,5.185,0.40212,0.04762,85,2016
Serbia,0.6458,0.20737,1.03437,0.81329,5.177,0.15718,0.04339,86,2016
Bosnia and Herzegovina,0.70766,0.29889,0.93383,0.64367,5.163,0.09511,0.0,87,2016
Montenegro,0.63533,0.17191,1.07838,0.74173,5.161,0.15111,0.12721,88,2016
Dominican Republic,0.57669,0.21286,1.02787,0.99496,5.155,0.52259,0.12372,89,2016
Morocco,0.59471,0.04053,0.84058,0.38595,5.151,0.25646,0.08404,90,2016
Hungary,0.67608,0.099,1.24142,0.93164,5.145,0.1977,0.04472,91,2016
Pakistan,0.40306,0.31185,0.68816,0.26135,5.132,0.14622,0.1388,92,2016
Lebanon,0.76171,0.23693,1.12268,0.64184,5.129,0.26228,0.03061,93,2016
Portugal,0.79363,0.11691,1.27607,0.94367,5.123,0.44727,0.01521,94,2016
Macedonia,0.64738,0.23507,1.0193,0.78236,5.121,0.27668,0.07047,95,2016
Vietnam,0.66157,0.25075,0.74037,0.79117,5.061,0.55954,0.11556,96,2016
Somaliland Region,0.33108,0.51479,0.25558,0.75862,5.057,0.3913,0.36794,97,2016
Tunisia,0.59577,0.03936,0.97724,0.43165,5.045,0.23553,0.0817,98,2016
Greece,0.80029,0.0,1.24886,0.75473,5.033,0.05822,0.04127,99,2016
Tajikistan,0.53119,0.25998,0.48835,0.75602,4.996,0.43408,0.13509,100,2016
Mongolia,0.55469,0.34539,0.98853,1.08983,4.907,0.35972,0.03285,101,2016
Laos,0.38291,0.43079,0.68042,0.5497,4.876,0.52168,0.22423,102,2016
Nigeria,0.05108,0.23219,0.75216,0.64498,4.875,0.27854,0.0305,103,2016
Honduras,0.58383,0.2044,0.69429,0.75596,4.871,0.26755,0.06906,104,2016
Iran,0.64232,0.38538,1.11758,0.38857,4.813,0.22544,0.0557,105,2016
Zambia,0.23573,0.17866,0.61202,0.6376,4.795,0.42662,0.11479,106,2016
Nepal,0.50073,0.3816,0.44626,0.69699,4.793,0.37012,0.07008,107,2016
Palestinian Territories,0.56844,0.11154,0.67024,0.71629,4.754,0.17744,0.10613,108,2016
Albania,0.73007,0.1684,0.9553,0.50163,4.655,0.31866,0.05301,109,2016
Bangladesh,0.52989,0.19132,0.54177,0.24749,4.643,0.39778,0.12583,110,2016
Sierra Leone,0.0,0.23897,0.36485,0.628,4.635,0.30685,0.08196,111,2016
Iraq,0.51076,0.19589,1.07474,0.59205,4.575,0.24856,0.13636,112,2016
Namibia,0.34745,0.07795,0.93287,0.70362,4.574,0.48614,0.10398,113,2016
Cameroon,0.12698,0.2268,0.52497,0.62542,4.513,0.42736,0.06126,114,2016
Ethiopia,0.34578,0.29522,0.29283,0.37932,4.508,0.36703,0.1717,115,2016
South Africa,0.18611,0.13656,1.02416,0.96053,4.459,0.42483,0.08415,116,2016
Sri Lanka,0.62007,0.46978,0.97318,0.84783,4.415,0.50817,0.07964,117,2016
India,0.45091,0.25028,0.74036,0.29247,4.404,0.40285,0.08722,118,2016
Myanmar,0.3988,0.81971,0.34112,0.69981,4.395,0.42692,0.20243,119,2016
Egypt,0.52116,0.12706,0.95395,0.49813,4.362,0.18847,0.10393,120,2016
Armenia,0.64083,0.07793,0.86086,0.62477,4.36,0.14037,0.03616,121,2016
Kenya,0.30147,0.41328,0.52267,0.7624,4.356,0.40576,0.06686,122,2016
Ukraine,0.58628,0.20363,0.87287,1.01413,4.324,0.12859,0.01829,123,2016
Ghana,0.29681,0.21203,0.63107,0.49353,4.276,0.40973,0.0326,124,2016
Congo (Kinshasa),0.188,0.25458,0.05661,0.80676,4.272,0.15602,0.06075,125,2016
Georgia,0.64035,0.06786,0.83792,0.19249,4.252,0.32461,0.3188,126,2016
Congo (Brazzaville),0.28212,0.12077,0.77109,0.47799,4.236,0.37938,0.09753,127,2016
Senegal,0.40457,0.19103,0.44314,0.77416,4.219,0.31056,0.11681,128,2016
Bulgaria,0.67806,0.12793,1.11306,0.92542,4.217,0.21219,0.00615,129,2016
Mauritania,0.28639,0.22686,0.61391,0.84142,4.201,0.1268,0.17955,130,2016
Zimbabwe,0.1595,0.18503,0.35041,0.71478,4.193,0.25429,0.08582,131,2016
Malawi,0.29364,0.30968,0.08709,0.147,4.156,0.4143,0.07564,132,2016
Sudan,0.29759,0.18077,0.63069,0.81928,4.139,0.0,0.10039,133,2016
Gabon,0.3494,0.06244,1.15851,0.72368,4.121,0.28098,0.09314,134,2016
