Country,Healthy Life Expectancy,Generosity,GDP per Capita,Social Support,Happiness Score,Freedom,Perceptions of Corruption,Happiness Rank,year
Mali,0.16347,0.21064,0.31292,0.86333,4.073,0.27544,0.13647,135,2016
Haiti,0.27494,0.47958,0.34097,0.29561,4.028,0.12072,0.14476,136,2016
Botswana,0.34752,0.12425,1.09426,0.89186,3.974,0.44089,0.10769,137,2016
Comoros,0.29981,0.1827,0.27509,0.60323,3.956,0.15412,0.18437,138,2016
Ivory Coast,0.04476,0.20338,0.55507,0.57576,3.916,0.40663,0.1553,139,2016
Cambodia,0.42494,0.40339,0.55604,0.5375,3.907,0.58852,0.08092,140,2016
Angola,0.04991,0.12071,0.84731,0.66366,3.866,0.00589,0.08434,141,2016
Niger,0.26162,0.2097,0.1327,0.6053,3.856,0.38041,0.17176,142,2016
South Sudan,0.15781,0.25899,0.39394,0.18519,3.832,0.19662,0.13015,143,2016
Chad,0.03824,0.18667,0.42214,0.63178,3.763,0.12807,0.04952,144,2016
Burkina Faso,0.21297,0.24353,0.31995,0.63054,3.739,0.3337,0.12533,145,2016
Uganda,0.19625,0.27102,0.34719,0.90981,3.739,0.43653,0.06442,145,2016
Yemen,0.31048,0.09821,0.57939,0.47493,3.724,0.2287,0.05892,147,2016
Madagascar,0.37109,0.2204,0.27954,0.46115,3.695,0.13684,0.07506,148,2016
Tanzania,0.357,0.31472,0.47155,0.77623,3.666,0.3176,0.05099,149,2016
Liberia,0.23165,0.24063,0.10706,0.50353,3.622,0.25748,0.04852,150,2016
Guinea,0.18829,0.29914,0.22415,0.3109,3.607,0.30953,0.1192,151,2016
Rwanda,0.31865,0.23552,0.32846,0.61586,3.515,0.5432,0.50521,152,2016
Benin,0.21028,0.2018,0.39499,0.10419,3.484,0.39747,0.06681,153,2016
Afghanistan,0.17344,0.31268,0.38227,0.11037,3.36,0.1643,0.07112,154,2016
Togo,0.24811,0.17517,0.28123,0.0,3.303,0.34678,0.11587,155,2016
Syria,0.62994,0.48397,0.74719,0.14866,3.069,0.06912,0.17233,156,2016
Burundi,0.15747,0.2029,0.06831,0.23442,2.905,0.0432,0.09419,157,2016
Norway,0.796666502952576,0.36201223731041,1.61646318435669,1.53352355957031,7.53700017929077,0.635422587394714,0.315963834524155,1,2017
Denmark,0.792565524578094,0.355280488729477,1.48238301277161,1.55112159252167,7.52199983596802,0.626006722450256,0.40077006816864,2,2017
Iceland,0.833552122116089,0.475540220737457,1.480633020401,1.6105740070343,7.50400018692017,0.627162635326385,0.153526559472084,3,2017
Switzerland,0.858131289482117,0.290549278259277,1.56497955322266,1.51691174507141,7.49399995803833,0.620070576667786,0.367007285356522,4,2017
Finland,0.80915766954422,0.24548277258873,1.44357192516327,1.5402467250824,7.4689998626709,0.617950856685638,0.38261154294014,5,2017
Netherlands,0.810696125030518,0.470489829778671,1.50394463539124,1.42893922328949,7.3769998550415,0.585384488105774,0.282661825418472,6,2017
Canada,0.83455765247345,0.435539722442627,1.47920441627502,1.48134899139404,7.31599998474121,0.611100912094116,0.287371516227722,7,2017
New Zealand,0.816759705543518,0.500005125999451,1.40570604801178,1.54819512367249,7.31400012969971,0.614062130451202,0.382816702127457,8,2017
Sweden,0.830875158309937,0.385399252176285,1.49438726902008,1.47816216945648,7.28399991989136,0.612924098968506,0.384398728609085,9,2017
Australia,0.84388679265976,0.477699249982834,1.484414935112,1.51004195213318,7.28399991989136,0.601607382297516,0.301183730363846,10,2017
Israel,0.83840399980545,0.330082654953003,1.37538242340088,1.37628996372223,7.21299982070923,0.405988603830338,0.0852421000599861,11,2017
Costa Rica,0.759509265422821,0.214613229036331,1.10970628261566,1.41640365123749,7.0789999961853,0.580131649971008,0.100106589496136,12,2017
Austria,0.815328419208527,0.316472321748734,1.48709726333618,1.4599449634552,7.00600004196167,0.567766189575195,0.221060365438461,13,2017
United States,0.77428662776947,0.392578780651093,1.54625928401947,1.41992056369781,6.99300003051758,0.505740523338318,0.135638788342476,14,2017
Ireland,0.80978262424469,0.42785832285881,1.53570663928986,1.55823111534119,6.97700023651123,0.573110342025757,0.29838815331459,15,2017
Germany,0.798950731754303,0.336269170045853,1.48792338371277,1.47252035140991,6.95100021362305,0.562511384487152,0.276731938123703,16,2017
Belgium,0.818091869354248,0.231503337621689,1.46378076076508,1.46231269836426,6.89099979400635,0.539770722389221,0.251343131065369,17,2017
Luxembourg,0.845089495182037,0.283180981874466,1.74194359779358,1.45758366584778,6.86299991607666,0.59662789106369,0.31883442401886,18,2017
United Kingdom,0.805335938930511,0.492774158716202,1.44163393974304,1.49646008014679,6.71400022506714,0.508190035820007,0.265428066253662,19,2017
Chile,0.819479703903198,0.326662421226501,1.25278460979462,1.28402495384216,6.65199995040894,0.376895278692245,0.0822879821062088,20,2017
United Arab Emirates,0.726798236370087,0.3609419465065,1.62634336948395,1.26641023159027,6.64799976348877,0.60834527015686,0.324489563703537,21,2017
Brazil,0.616552352905273,0.16234989464283,1.10735321044922,1.43130600452423,6.63500022888184,0.437453746795654,0.111092761158943,22,2017
Czech Republic,0.754444003105164,0.0881067588925362,1.35268235206604,1.43388521671295,6.60900020599365,0.490946173667908,0.0368729270994663,23,2017
Argentina,0.695137083530426,0.109457060694695,1.18529546260834,1.44045114517212,6.59899997711182,0.494519203901291,0.059739887714386,24,2017
Mexico,0.709978997707367,0.120990432798862,1.15318381786346,1.210862159729,6.57800006866455,0.412730008363724,0.132774114608765,25,2017
Singapore,0.949492394924164,0.345965981483459,1.69227766990662,1.35381436347961,6.57200002670288,0.549840569496155,0.46430778503418,26,2017
Malta,0.821944236755371,0.574730575084686,1.34327983856201,1.48841166496277,6.52699995040894,0.588767051696777,0.153066068887711,27,2017
Uruguay,0.719216823577881,0.175096929073334,1.21755969524384,1.41222786903381,6.4539999961853,0.57939225435257,0.178061872720718,28,2017
Guatemala,0.540239989757538,0.283488392829895,0.872001945972443,1.25558519363403,6.4539999961853,0.531310617923737,0.0772232785820961,29,2017
Panama,0.706156134605408,0.21055693924427,1.23374843597412,1.37319254875183,6.4520001411438,0.550026834011078,0.070983923971653,30,2017
France,0.844465851783752,0.129762306809425,1.43092346191406,1.38777685165405,6.44199991226196,0.470222115516663,0.172502428293228,31,2017
Thailand,0.647239029407501,0.572123110294342,1.12786877155304,1.42579245567322,6.42399978637695,0.580200731754303,0.0316127352416515,32,2017
Taiwan Province of China,0.793984234333038,0.258360475301743,1.43362653255463,1.38456535339355,6.42199993133545,0.361466586589813,0.0638292357325554,33,2017
Spain,0.888960599899292,0.190133571624756,1.38439786434174,1.53209090232849,6.40299987792969,0.408781230449677,0.0709140971302986,34,2017
Qatar,0.710098087787628,0.330473870038986,1.87076568603516,1.27429687976837,6.375,0.604130983352661,0.439299255609512,35,2017
Colombia,0.595027923583984,0.149014472961426,1.07062232494354,1.4021829366684,6.35699987411499,0.477487415075302,0.0466687418520451,36,2017
Saudi Arabia,0.590148329734802,0.147616013884544,1.53062355518341,1.28667759895325,6.3439998626709,0.449750572443008,0.27343225479126,37,2017
Trinidad and Tobago,0.519983291625977,0.325296461582184,1.36135590076447,1.3802285194397,6.16800022125244,0.518630743026733,0.0089648161083459,38,2017
Kuwait,0.632105708122253,0.228289797902107,1.63295245170593,1.25969874858856,6.10500001907349,0.496337592601776,0.215159550309181,39,2017
Slovakia,0.712732911109924,0.136544480919838,1.32539355754852,1.50505924224854,6.09800004959106,0.295817464590073,0.0242108516395092,40,2017
Bahrain,0.653133034706116,0.172668486833572,1.48841226100922,1.32311046123505,6.08699989318848,0.536746919155121,0.257042169570923,41,2017
Malaysia,0.618784427642822,0.416608929634094,1.29121541976929,1.28464603424072,6.08400011062622,0.402264982461929,0.0656007081270218,42,2017
Nicaragua,0.653095960617065,0.301674216985703,0.737299203872681,1.28721570968628,6.07100009918213,0.447551846504211,0.130687981843948,43,2017
Ecuador,0.685636222362518,0.150112465023994,1.00082039833069,1.28616881370544,6.00799989700317,0.4551981985569,0.140134647488594,44,2017
El Salvador,0.596018552780151,0.0782579854130745,0.909784495830536,1.18212509155273,6.00299978256226,0.432452529668808,0.0899809598922729,45,2017
Poland,0.699475347995758,0.158465966582298,1.29178786277771,1.44571197032928,5.97300004959106,0.520342111587524,0.0593078061938286,46,2017
Uzbekistan,0.498272627592087,0.415983647108078,0.786441087722778,1.54896914958954,5.97100019454956,0.658248662948608,0.246528223156929,47,2017
Italy,0.853144347667694,0.17278964817524,1.39506661891937,1.44492328166962,5.96400022506714,0.256450712680817,0.0280280914157629,48,2017
Russia,0.547349333763123,0.0522638224065304,1.28177809715271,1.46928238868713,5.96299982070923,0.373783111572266,0.0329628810286522,49,2017
Belize,0.450191766023636,0.240015640854836,0.907975316047668,1.08141779899597,5.95599985122681,0.547509372234344,0.0965810716152191,50,2017
Japan,0.913475871086121,0.12057276815176,1.41691517829895,1.43633782863617,5.92000007629395,0.505625545978546,0.163760736584663,51,2017
Lithuania,0.62894994020462,0.010164656676352,1.31458234786987,1.47351610660553,5.90199995040894,0.234231784939766,0.0118656428530812,52,2017
Algeria,0.617584645748138,0.0694366469979286,1.09186446666718,1.1462174654007,5.87200021743774,0.233335807919502,0.146096110343933,53,2017
Latvia,0.638566970825195,0.153074786067009,1.26074862480164,1.40471494197845,5.84999990463257,0.325707912445068,0.0738427266478539,54,2017
South Korea,0.900214076042175,0.206674367189407,1.40167844295502,1.12827444076538,5.83799982070923,0.257921665906906,0.0632826685905457,55,2017
Moldova,0.589465200901031,0.208779126405716,0.728870630264282,1.25182557106018,5.83799982070923,0.240729048848152,0.0100912861526012,56,2017
Romania,0.685158312320709,0.133519917726517,1.21768391132355,1.15009129047394,5.82499980926514,0.457003742456436,0.00438790069893,57,2017
Bolivia,0.473630249500275,0.22556072473526,0.833756566047668,1.22761905193329,5.82299995422363,0.558732926845551,0.0604777261614799,58,2017
Turkmenistan,0.437726080417633,0.24992498755455,1.13077676296234,1.49314916133881,5.82200002670288,0.41827192902565,0.259270340204239,59,2017
Kazakhstan,0.606041550636292,0.201964423060417,1.28455626964569,1.38436901569366,5.81899976730347,0.437454283237457,0.119282886385918,60,2017
North Cyprus,0.834647238254547,0.266845703125,1.3469113111496,1.18630337715149,5.80999994277954,0.471203625202179,0.155353352427483,61,2017
Slovenia,0.790828227996826,0.242649093270302,1.3412059545517,1.45251882076263,5.75799989700317,0.572575807571411,0.0451289787888527,62,2017
Peru,0.630166113376617,0.126819714903831,1.03522527217865,1.21877038478851,5.71500015258789,0.450002878904343,0.0470490865409374,63,2017
Mauritius,0.638007462024689,0.360933750867844,1.18939554691315,1.20956099033356,5.62900018692017,0.491247326135635,0.0421815551817417,64,2017
Cyprus,0.84471470117569,0.271254301071167,1.35593807697296,1.13136327266693,5.62099981307983,0.355111539363861,0.0412379764020443,65,2017
Estonia,0.695168316364288,0.0988908112049103,1.32087934017181,1.47667109966278,5.61100006103516,0.479131430387497,0.183248922228813,66,2017
Belarus,0.637714266777039,0.15513750910759,1.15655755996704,1.44494521617889,5.56899976730347,0.295400261878967,0.156313821673393,67,2017
Libya,0.520169019699097,0.152073666453362,1.10180306434631,1.35756433010101,5.52500009536743,0.465733230113983,0.0926102101802826,68,2017
Turkey,0.637605607509613,0.0466930419206619,1.19827437400818,1.33775317668915,5.5,0.300740599632263,0.0996715798974037,69,2017
Paraguay,0.579250693321228,0.224150657653809,0.932537317276001,1.50728487968445,5.49300003051758,0.473507791757584,0.091065913438797,70,2017
"Hong Kong S.A.R., China",0.943062424659729,0.374465793371201,1.55167484283447,1.26279091835022,5.47200012207031,0.490968644618988,0.293933749198914,71,2017
Philippines,0.468009054660797,0.193513423204422,0.85769921541214,1.25391757488251,5.42999982833862,0.585214674472809,0.0993318930268288,72,2017
Serbia,0.65078467130661,0.220125883817673,1.06931757926941,1.25818979740143,5.39499998092651,0.208715528249741,0.0409037806093693,73,2017
Jordan,0.604590058326721,0.172170460224152,0.991012394428253,1.23908889293671,5.33599996566772,0.418421149253845,0.11980327218771,74,2017
Hungary,0.687763452529907,0.0784016624093056,1.2860119342804,1.34313309192657,5.32399988174438,0.175863519310951,0.0366369374096394,75,2017
Jamaica,0.641022384166718,0.233818337321281,0.925579309463501,1.36821806430817,5.31099987030029,0.474307239055634,0.0552677810192108,76,2017
Croatia,0.701288521289825,0.248002976179123,1.22255623340607,0.96798300743103,5.29300022125244,0.255772292613983,0.0431031100451946,77,2017
Kosovo,0.541452050209045,0.319931447505951,0.951484382152557,1.13785350322723,5.27899980545044,0.260287940502167,0.0574716180562973,78,2017
China,0.741415500640869,0.0288068410009146,1.08116579055786,1.16083741188049,5.27299976348877,0.472787708044052,0.0227942746132612,79,2017
Pakistan,0.402047783136368,0.315446019172668,0.72688353061676,0.672690689563751,5.26900005340576,0.23521526157856,0.124348066747189,80,2017
Indonesia,0.492345720529556,0.611704587936401,0.995538592338562,1.27444469928741,5.26200008392334,0.443323463201523,0.0153171354904771,81,2017
Venezuela,0.617144227027893,0.0650196298956871,1.12843120098114,1.43133759498596,5.25,0.153997123241425,0.0644911229610443,82,2017
Montenegro,0.667464673519135,0.197911024093628,1.12112903594971,1.23837649822235,5.23699998855591,0.194989055395126,0.0881741940975189,83,2017
Morocco,0.59771066904068,0.0322099551558495,0.878114581108093,0.774864435195923,5.2350001335144,0.408158332109451,0.0877631828188896,84,2017
Azerbaijan,0.540775775909424,0.0452693402767181,1.15360176563263,1.15240025520325,5.23400020599365,0.398155838251114,0.180987507104874,85,2017
Dominican Republic,0.574873745441437,0.186967849731445,1.07937383651733,1.40241670608521,5.23000001907349,0.55258983373642,0.113945253193378,86,2017
Greece,0.810198903083801,0.0,1.28948748111725,1.23941457271576,5.22700023651123,0.0957312509417534,0.04328977689147,87,2017
Lebanon,0.735081076622009,0.264450758695602,1.07498753070831,1.12962424755096,5.22499990463257,0.288515985012054,0.037513829767704,88,2017
Portugal,0.795843541622162,0.0951027125120163,1.3151752948761,1.36704301834106,5.19500017166138,0.498465299606323,0.0158694516867399,89,2017
Bosnia and Herzegovina,0.705186307430267,0.328867495059967,0.982409417629242,1.0693359375,5.18200016021729,0.204403176903725,0.0,90,2017
Honduras,0.582569479942322,0.236188873648643,0.730573117733002,1.14394497871399,5.18100023269653,0.348079860210419,0.0733454525470734,91,2017
Macedonia,0.644948184490204,0.25376096367836,1.06457793712616,1.20789301395416,5.17500019073486,0.325905978679657,0.0602777935564518,92,2017
Somalia,0.113989137113094,0.291631311178207,0.0226431842893362,0.721151351928711,5.15100002288818,0.602126955986023,0.282410323619843,93,2017
Vietnam,0.652168989181519,0.234968051314354,0.788547575473785,1.27749133110046,5.07399988174438,0.571055591106415,0.0876332372426987,94,2017
Nigeria,0.0569157302379608,0.230947196483612,0.783756256103516,1.21577048301697,5.07399988174438,0.394952565431595,0.0261215660721064,95,2017
Tajikistan,0.529235124588013,0.248997643589973,0.524713635444641,1.27146327495575,5.04099988937378,0.471566706895828,0.146377146244049,96,2017
Bhutan,0.495879292488098,0.474054545164108,0.885416388511658,1.34012651443481,5.01100015640259,0.501537680625916,0.173380389809608,97,2017
Kyrgyzstan,0.553457796573639,0.42858037352562,0.596220076084137,1.39423859119415,5.00400018692017,0.454943388700485,0.0394391790032387,98,2017
Nepal,0.504130780696869,0.394096165895462,0.479820191860199,1.17928326129913,4.96199989318848,0.440305948257446,0.0729755461215973,99,2017
Mongolia,0.557783484458923,0.338464230298996,1.02723586559296,1.4930112361908,4.95499992370605,0.394143968820572,0.0329022891819477,100,2017
South Africa,0.187080070376396,0.139362379908562,1.05469870567322,1.38478863239288,4.8289999961853,0.479246735572815,0.0725094974040985,101,2017
Tunisia,0.613212049007416,0.0496933571994305,1.00726580619812,0.868351459503174,4.80499982833862,0.289680689573288,0.0867231488227844,102,2017
Palestinian Territories,0.565666973590851,0.114173173904419,0.716249227523804,1.15564715862274,4.77500009536743,0.25471106171608,0.0892826020717621,103,2017
Egypt,0.520187258720398,0.128631442785263,0.989701807498932,0.997471392154694,4.7350001335144,0.282110154628754,0.114381365478039,104,2017
Bulgaria,0.708217680454254,0.113177694380283,1.1614590883255,1.43437945842743,4.71400022506714,0.289231717586517,0.0110515309497714,105,2017
Sierra Leone,0.0055647538974881,0.293040901422501,0.36842092871666,0.984136044979095,4.70900011062622,0.318697690963745,0.0710951760411263,106,2017
Cameroon,0.132892116904259,0.236298456788063,0.564305365085602,0.946018218994141,4.69500017166138,0.430388748645782,0.0513066314160824,107,2017
Iran,0.639333188533783,0.387242913246155,1.15687310695648,0.711551249027252,4.69199991226196,0.249322608113289,0.048761073499918,108,2017
Albania,0.731159746646881,0.201312944293022,0.996192753314972,0.803685247898102,4.64400005340576,0.381498634815216,0.0398642159998417,109,2017
Bangladesh,0.533241033554077,0.172255352139473,0.586682975292206,0.735131740570068,4.60799980163574,0.478356659412384,0.123717859387398,110,2017
Namibia,0.33861181139946,0.0771337449550629,0.964434325695038,1.0984708070755,4.57399988174438,0.520303547382355,0.0931469723582268,111,2017
Kenya,0.309988349676132,0.444860309362411,0.560479462146759,1.06795072555542,4.55299997329712,0.452763766050339,0.0646413192152977,112,2017
Mozambique,0.106654435396194,0.322228103876114,0.234305649995804,0.870701014995575,4.55000019073486,0.480791091918945,0.179436385631561,113,2017
Myanmar,0.397522568702698,0.838075160980225,0.367110550403595,1.12323594093323,4.54500007629395,0.514492034912109,0.188816204667091,114,2017
Senegal,0.409362852573395,0.183468893170357,0.479309022426605,1.17969191074371,4.53499984741211,0.377922266721725,0.115460447967052,115,2017
Zambia,0.257835894823074,0.249580144882202,0.636406779289246,1.00318729877472,4.51399993896484,0.461603492498398,0.0782135501503944,116,2017
Iraq,0.501180469989777,0.19963726401329,1.10271048545837,0.978613197803497,4.49700021743774,0.288555532693863,0.107215754687786,117,2017
Gabon,0.356578588485718,0.0437853783369064,1.1982102394104,1.1556202173233,4.46500015258789,0.312328577041626,0.0760467872023582,118,2017
Ethiopia,0.353409707546234,0.312650740146637,0.339233845472336,0.86466920375824,4.46000003814697,0.408842742443085,0.165455713868141,119,2017
Sri Lanka,0.625130832195282,0.490863561630249,1.00985014438629,1.25997638702393,4.44000005722046,0.561213254928589,0.0736539661884308,120,2017
Armenia,0.637524425983429,0.0834880918264389,0.900596737861633,1.00748372077942,4.37599992752075,0.198303267359734,0.0266744215041399,121,2017
India,0.455427616834641,0.231538489460945,0.792221248149872,0.754372596740723,4.31500005722046,0.469987004995346,0.0922268852591515,122,2017
Mauritania,0.285349279642105,0.201870024204254,0.648457288742065,1.2720308303833,4.29199981689453,0.0960980430245399,0.136957004666328,123,2017
Congo (Brazzaville),0.28995743393898,0.120852127671242,0.808964252471924,0.832044363021851,4.29099988937378,0.435025870800018,0.0796181336045265,124,2017
Georgia,0.649546980857849,0.0540088154375553,0.950612664222717,0.57061493396759,4.28599977493286,0.309410035610199,0.251666635274887,125,2017
Congo (Kinshasa),0.191407024860382,0.246455833315849,0.0921023488044739,1.22902345657349,4.28000020980835,0.235961347818375,0.0602413564920425,126,2017
Mali,0.169365674257278,0.183354198932648,0.476180493831635,1.28147339820862,4.19000005722046,0.306613743305206,0.104970246553421,127,2017
Ivory Coast,0.0486421696841717,0.201237469911575,0.603048920631409,0.904780030250549,4.17999982833862,0.447706192731857,0.130061775445938,128,2017
Cambodia,0.429783403873444,0.385922968387604,0.601765096187592,1.00623834133148,4.16800022125244,0.633375823497772,0.0681059509515762,129,2017
Sudan,0.290920823812485,0.182317450642586,0.65951669216156,1.21400856971741,4.13899993896484,0.0149958552792668,0.089847519993782,130,2017
Ghana,0.295637726783752,0.256923943758011,0.667224824428558,0.873664736747742,4.11999988555908,0.423026293516159,0.0253363698720932,131,2017
Ukraine,0.575903952121735,0.270061463117599,0.89465194940567,1.39453756809235,4.09600019454956,0.122974775731564,0.0230294708162546,132,2017
Uganda,0.217632606625557,0.325766056776047,0.381430715322495,1.12982773780823,4.08099985122681,0.443185955286026,0.057069718837738,133,2017
Burkina Faso,0.215844258666039,0.250864684581757,0.3502277135849,1.04328000545502,4.03200006484985,0.324367851018906,0.120328105986118,134,2017
Niger,0.26850500702858,0.228673845529556,0.161925330758095,0.993025004863739,4.02799987792969,0.36365869641304,0.138572946190834,135,2017
Malawi,0.315089583396912,0.287170469760895,0.233442038297653,0.512568831443787,3.97000002861023,0.466914653778076,0.0727116540074348,136,2017
